config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,google/gemini-2.5-flash,230,240,0.9583,0.012899,0.9250,0.9772
2,1,google/gemma-4-26b-a4b-it,223,240,0.9292,0.016560,0.8895,0.9553
2,1,meta-llama/llama-4-scout,217,240,0.9042,0.019001,0.8603,0.9353
2,1,qwen/qwen3-vl-8b-instruct,228,240,0.9500,0.014068,0.9147,0.9712
2,5,google/gemini-2.5-flash,240,240,1.0000,0.000000,0.9842,1.0000
2,5,google/gemma-4-26b-a4b-it,240,240,1.0000,0.000000,0.9842,1.0000
2,5,meta-llama/llama-4-scout,240,240,1.0000,0.000000,0.9842,1.0000
2,5,qwen/qwen3-vl-8b-instruct,236,240,0.9833,0.008264,0.9579,0.9935
3,1,google/gemini-2.5-flash,233,240,0.9708,0.010862,0.9410,0.9858
3,1,google/gemma-4-26b-a4b-it,222,240,0.9250,0.017002,0.8846,0.9520
3,1,meta-llama/llama-4-scout,193,240,0.8042,0.025616,0.7493,0.8494
3,1,qwen/qwen3-vl-8b-instruct,202,240,0.8417,0.023564,0.7901,0.8824
3,5,google/gemini-2.5-flash,240,240,1.0000,0.000000,0.9842,1.0000
3,5,google/gemma-4-26b-a4b-it,230,240,0.9583,0.012899,0.9250,0.9772
3,5,meta-llama/llama-4-scout,223,240,0.9292,0.016560,0.8895,0.9553
3,5,qwen/qwen3-vl-8b-instruct,228,240,0.9500,0.014068,0.9147,0.9712
4,1,google/gemini-2.5-flash,217,240,0.9042,0.019001,0.8603,0.9353
4,1,google/gemma-4-26b-a4b-it,206,240,0.8583,0.022509,0.8086,0.8968
4,1,meta-llama/llama-4-scout,188,240,0.7833,0.026593,0.7270,0.8308
4,1,qwen/qwen3-vl-8b-instruct,206,240,0.8583,0.022509,0.8086,0.8968
4,5,google/gemini-2.5-flash,231,240,0.9625,0.012263,0.9303,0.9801
4,5,google/gemma-4-26b-a4b-it,228,240,0.9500,0.014068,0.9147,0.9712
4,5,meta-llama/llama-4-scout,214,240,0.8917,0.020062,0.8460,0.9250
4,5,qwen/qwen3-vl-8b-instruct,216,240,0.9000,0.019365,0.8555,0.9319
