source_model,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,axioms_ontology_v2,146,4.1918,0.1048,4.6438,0.0788,4.1986,0.1270,2.6233,0.1452,4.8973,0.0443,4.3973,0.1049,4.1781,0.1189,4.6849,0.0521,3.9315,0.1285,4.1941,0.0698
google/gemini-2.5-flash,features,272,4.0588,0.0613,4.8309,0.0326,4.8713,0.0362,4.9853,0.0090,4.9154,0.0218,4.4375,0.0560,4.1875,0.0669,4.8824,0.0228,4.8787,0.0278,4.6720,0.0256
google/gemini-2.5-flash,nle,266,3.6805,0.0628,4.4962,0.0596,4.8383,0.0433,4.9586,0.0153,4.7970,0.0339,4.5263,0.0506,4.6654,0.0526,4.9474,0.0147,4.9323,0.0180,4.6491,0.0267
google/gemini-2.5-flash,rulebased,276,4.7681,0.0315,4.9275,0.0201,4.9601,0.0213,5.0000,0.0000,4.9819,0.0095,4.9239,0.0210,4.8696,0.0362,4.9746,0.0119,4.9493,0.0222,4.9283,0.0119
google/gemma-4-26b-a4b-it,axioms_ontology_v2,158,3.8165,0.0999,4.7152,0.0684,4.6835,0.0793,2.6392,0.1175,4.8544,0.0507,4.2468,0.1050,4.4494,0.0982,4.7848,0.0511,4.6329,0.0720,4.3136,0.0503
google/gemma-4-26b-a4b-it,features,267,3.8052,0.0652,4.8577,0.0324,4.8240,0.0464,5.0000,0.0000,4.9925,0.0053,4.4382,0.0533,3.8914,0.0771,4.9813,0.0083,4.7903,0.0457,4.6201,0.0255
google/gemma-4-26b-a4b-it,nle,269,3.2974,0.0623,4.4498,0.0608,4.7770,0.0512,4.8885,0.0285,4.7026,0.0462,3.9888,0.0650,4.0781,0.0752,4.8476,0.0276,4.7509,0.0380,4.4201,0.0340
google/gemma-4-26b-a4b-it,rulebased,259,4.3861,0.0557,4.8649,0.0380,4.9073,0.0337,4.9653,0.0138,4.9073,0.0262,4.8417,0.0306,4.8031,0.0418,4.9073,0.0238,4.8726,0.0330,4.8284,0.0199
meta-llama/llama-4-scout,axioms_ontology_v2,149,2.9128,0.1323,4.5772,0.0889,3.4631,0.1584,2.1879,0.1221,4.9463,0.0378,3.2953,0.1555,3.6242,0.1501,4.8188,0.0495,4.1074,0.1242,3.7703,0.0792
meta-llama/llama-4-scout,features,256,3.4453,0.0670,4.8086,0.0362,4.6406,0.0635,4.9961,0.0039,4.8594,0.0256,4.0000,0.0732,3.3711,0.0875,4.8984,0.0233,4.5547,0.0628,4.3971,0.0338
meta-llama/llama-4-scout,nle,273,3.1832,0.0622,3.9890,0.0765,4.5604,0.0684,4.8425,0.0312,4.4396,0.0505,3.8168,0.0676,3.5934,0.0885,4.8095,0.0333,4.5971,0.0469,4.2035,0.0424
meta-llama/llama-4-scout,rulebased,249,3.3574,0.0758,4.5783,0.0601,4.5743,0.0712,4.9639,0.0164,4.9558,0.0130,4.2289,0.0621,3.9076,0.0925,4.7470,0.0384,4.6988,0.0477,4.4458,0.0351
qwen/qwen3-vl-8b-instruct,axioms_ontology_v2,135,1.1778,0.0503,2.8963,0.1660,1.4148,0.1053,1.0889,0.0386,4.7556,0.0717,1.0963,0.0514,1.4222,0.1054,4.3556,0.1006,3.3259,0.1552,2.3926,0.0484
qwen/qwen3-vl-8b-instruct,features,267,3.7191,0.0630,4.9288,0.0182,4.8577,0.0391,4.9963,0.0037,4.9888,0.0065,4.3970,0.0588,3.6667,0.0818,4.9663,0.0123,4.8240,0.0412,4.5938,0.0231
qwen/qwen3-vl-8b-instruct,nle,267,3.4794,0.0608,3.8277,0.0815,4.6479,0.0657,4.9139,0.0195,4.5880,0.0439,4.1910,0.0585,4.0674,0.0781,4.7566,0.0334,4.6030,0.0475,4.3417,0.0387
qwen/qwen3-vl-8b-instruct,rulebased,266,4.1692,0.0650,4.8534,0.0348,4.9173,0.0306,5.0000,0.0000,4.9962,0.0038,4.7331,0.0380,4.5000,0.0659,4.9023,0.0248,4.9323,0.0222,4.7782,0.0215
