=== DEBUG LOG: qwen-vl | flowers | Prompt: classification ===

--- CONFIG: N=2, K=2, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 2: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 3: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 4: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 5: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 6: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 7: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 8: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 9: Expected: [79] | Extracted: [79] -> Correct: True
Run 0 | Query 10: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 11: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 12: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 13: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 14: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 15: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 16: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 17: Expected: [18] | Extracted: [18] -> Correct: True
Run 0 | Query 18: Expected: [18] | Extracted: [18] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 0: 1.0000
Run 1 | Query 1: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 2: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 3: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 4: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 5: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 6: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 7: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 8: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 9: Expected: [79] | Extracted: [79] -> Correct: True
Run 1 | Query 10: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 11: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 12: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 13: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 14: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 15: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 16: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 17: Expected: [18] | Extracted: [18] -> Correct: True
Run 1 | Query 18: Expected: [18] | Extracted: [18] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 1: 1.0000
Run 2 | Query 1: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 2: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 3: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 4: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 5: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 6: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 7: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 8: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 9: Expected: [79] | Extracted: [79] -> Correct: True
Run 2 | Query 10: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 11: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 12: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 13: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 14: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 15: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 16: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 17: Expected: [18] | Extracted: [18] -> Correct: True
Run 2 | Query 18: Expected: [18] | Extracted: [18] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 2: 1.0000

--- CONFIG: N=2, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 2: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 3: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 4: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 5: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 6: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 7: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 8: Expected: [31] | Extracted: [31] -> Correct: True
