dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
pets,classification,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,2.8593,1.4262,1.1419,0,datasets/pets/classification/N2_K1_Q1/run_0
pets,classification,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,4.4878,2.2391,2.0113,0,datasets/pets/classification/N2_K1_Q1/run_1
pets,nle,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,2.6217,1.3046,1.0871,0,datasets/pets/nle/N2_K1_Q1/run_0
pets,nle,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,4.3673,2.1786,1.9252,0,datasets/pets/nle/N2_K1_Q1/run_1
pets,features,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,2.4541,1.2236,0.9377,0,datasets/pets/features/N2_K1_Q1/run_0
pets,features,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,9.2186,4.6074,4.3844,0,datasets/pets/features/N2_K1_Q1/run_1
pets,rulebased,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,4.4255,2.1648,1.9415,0,datasets/pets/rulebased/N2_K1_Q1/run_0
pets,rulebased,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,3.1869,1.5903,1.3805,0,datasets/pets/rulebased/N2_K1_Q1/run_1
pets,axioms_ontology_v2,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,3.7297,1.8610,1.6496,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_0
pets,axioms_ontology_v2,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,3.6748,1.8293,1.5491,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_1
