model,dataset,prompt_type,config_n,config_k,accuracy,n_trials
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,2,1,1.0,12
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,2,5,1.0,12
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,3,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,3,5,1.0,12
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,4,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,4,5,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,classification,2,1,1.0,12
google/gemini-2.5-flash,cifar10,classification,2,5,1.0,12
google/gemini-2.5-flash,cifar10,classification,3,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,classification,3,5,1.0,12
google/gemini-2.5-flash,cifar10,classification,4,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,classification,4,5,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,features,2,1,1.0,12
google/gemini-2.5-flash,cifar10,features,2,5,1.0,12
google/gemini-2.5-flash,cifar10,features,3,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,features,3,5,1.0,12
google/gemini-2.5-flash,cifar10,features,4,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,features,4,5,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,nle,2,1,1.0,12
google/gemini-2.5-flash,cifar10,nle,2,5,1.0,12
google/gemini-2.5-flash,cifar10,nle,3,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,nle,3,5,1.0,12
google/gemini-2.5-flash,cifar10,nle,4,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,nle,4,5,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,rulebased,2,1,1.0,12
google/gemini-2.5-flash,cifar10,rulebased,2,5,1.0,12
google/gemini-2.5-flash,cifar10,rulebased,3,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,rulebased,3,5,1.0,12
google/gemini-2.5-flash,cifar10,rulebased,4,1,0.9166666666666666,12
google/gemini-2.5-flash,cifar10,rulebased,4,5,0.9166666666666666,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,2,1,0.8333333333333334,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,2,5,1.0,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,3,1,0.9166666666666666,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,3,5,1.0,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,4,1,0.8333333333333334,12
google/gemini-2.5-flash,dtd,axioms_ontology_v2,4,5,0.8333333333333334,12
google/gemini-2.5-flash,dtd,classification,2,1,0.9166666666666666,12
google/gemini-2.5-flash,dtd,classification,2,5,1.0,12
google/gemini-2.5-flash,dtd,classification,3,1,1.0,12
google/gemini-2.5-flash,dtd,classification,3,5,1.0,12
google/gemini-2.5-flash,dtd,classification,4,1,0.75,12
google/gemini-2.5-flash,dtd,classification,4,5,0.9166666666666666,12
google/gemini-2.5-flash,dtd,features,2,1,0.75,12
google/gemini-2.5-flash,dtd,features,2,5,1.0,12
google/gemini-2.5-flash,dtd,features,3,1,1.0,12
google/gemini-2.5-flash,dtd,features,3,5,1.0,12
google/gemini-2.5-flash,dtd,features,4,1,0.75,12
google/gemini-2.5-flash,dtd,features,4,5,1.0,12
google/gemini-2.5-flash,dtd,nle,2,1,0.8333333333333334,12
