=== DEBUG LOG: gemma3 | cifar10 | Prompt: classification ===

--- CONFIG: N=2, K=2, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 10: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 11: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 12: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 13: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 14: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 15: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 16: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 17: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 18: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 0: 1.0000
Run 1 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 10: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 11: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 12: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 13: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 14: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 15: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 16: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 17: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 18: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 1: 1.0000
Run 2 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 10: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 11: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 12: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 13: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 14: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 15: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 16: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 17: Expected: [ship] | Extracted: [automobile] -> Correct: False
Run 2 | Query 18: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (2,2,9) Run 2: 0.9444

--- CONFIG: N=2, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 2: Expected: [bird] | Extracted: [frog] -> Correct: False
Run 0 | Query 3: Expected: [bird] | Extracted: [bird] -> Correct: True
