prompt_type,dimension,judged_trials,mean_score,se_score
axioms_ontology_v2,comprehensibility,1146,3.9703,0.0217
axioms_ontology_v2,concept_counting,1146,4.1990,0.0469
axioms_ontology_v2,conciseness,1146,4.9354,0.0114
axioms_ontology_v2,discriminativeness,1146,3.0951,0.0465
axioms_ontology_v2,hallucination_free,1146,4.3979,0.0332
axioms_ontology_v2,instruction_following,1146,3.0489,0.0267
axioms_ontology_v2,logical_coherence,1146,2.9695,0.0389
axioms_ontology_v2,specificity,1146,2.8543,0.0443
axioms_ontology_v2,textual_groundedness,1146,2.3054,0.0378
features,comprehensibility,1152,4.9870,0.0036
features,concept_counting,1152,4.6840,0.0297
features,conciseness,1152,4.9679,0.0055
features,discriminativeness,1152,3.6215,0.0409
features,hallucination_free,1152,4.8047,0.0161
features,instruction_following,1152,4.8229,0.0151
features,logical_coherence,1152,4.8845,0.0132
features,specificity,1152,3.8082,0.0245
features,textual_groundedness,1152,3.6233,0.0284
nle,comprehensibility,1151,4.9505,0.0069
nle,concept_counting,1151,4.6820,0.0305
nle,conciseness,1151,4.8097,0.0151
nle,discriminativeness,1151,3.6924,0.0373
nle,hallucination_free,1151,4.4631,0.0279
nle,instruction_following,1151,4.7020,0.0181
nle,logical_coherence,1151,4.8401,0.0152
nle,specificity,1151,3.7281,0.0237
nle,textual_groundedness,1151,3.6195,0.0241
rulebased,comprehensibility,1150,4.9226,0.0090
rulebased,concept_counting,1150,4.3748,0.0409
rulebased,conciseness,1150,4.9522,0.0091
rulebased,discriminativeness,1150,3.9139,0.0373
rulebased,hallucination_free,1150,4.7713,0.0190
rulebased,instruction_following,1150,4.4296,0.0265
rulebased,logical_coherence,1150,4.7165,0.0212
rulebased,specificity,1150,4.1383,0.0231
rulebased,textual_groundedness,1150,3.6974,0.0268
