source_model,dataset,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,273,4.0220,0.0610,4.7802,0.0429,4.8352,0.0434,4.3993,0.0715,4.9267,0.0209,4.2711,0.0631,4.4176,0.0630,4.9231,0.0212,4.7766,0.0449,4.5946,0.0339
google/gemini-2.5-flash,dtd,274,4.2409,0.0605,4.7555,0.0478,4.8102,0.0480,4.5365,0.0605,4.8759,0.0314,4.6642,0.0503,4.5803,0.0586,4.8358,0.0326,4.7299,0.0501,4.6699,0.0370
google/gemini-2.5-flash,flowers,273,4.3077,0.0522,4.8791,0.0282,4.8168,0.0413,4.5201,0.0601,4.9377,0.0172,4.8022,0.0306,4.8205,0.0303,4.9121,0.0207,4.9670,0.0159,4.7737,0.0200
google/gemini-2.5-flash,pets,271,4.2731,0.0614,4.7897,0.0368,4.8782,0.0407,4.5535,0.0606,4.9594,0.0141,4.6568,0.0442,4.6900,0.0459,4.9483,0.0171,4.9041,0.0280,4.7392,0.0258
google/gemma-4-26b-a4b-it,cifar10,277,3.6245,0.0625,4.7834,0.0436,4.8087,0.0484,4.4224,0.0670,4.8917,0.0286,3.9458,0.0718,4.1805,0.0726,4.8881,0.0306,4.8087,0.0398,4.4838,0.0329
google/gemma-4-26b-a4b-it,dtd,264,4.0644,0.0609,4.7045,0.0481,4.8258,0.0443,4.4659,0.0630,4.6818,0.0522,4.5000,0.0563,4.2462,0.0771,4.7803,0.0407,4.6742,0.0506,4.5492,0.0388
google/gemma-4-26b-a4b-it,flowers,260,3.9577,0.0583,4.9192,0.0216,4.8346,0.0381,4.5077,0.0623,4.9577,0.0166,4.6923,0.0407,4.6192,0.0501,4.9731,0.0114,4.9538,0.0170,4.7128,0.0193
google/gemma-4-26b-a4b-it,pets,272,3.6765,0.0710,4.8787,0.0310,4.9375,0.0275,4.4118,0.0701,4.9338,0.0191,4.3566,0.0626,4.3493,0.0689,4.9301,0.0207,4.8603,0.0314,4.5927,0.0285
meta-llama/llama-4-scout,cifar10,262,3.1450,0.0756,4.2824,0.0800,4.3053,0.0890,4.3130,0.0784,4.6718,0.0486,3.3702,0.0911,3.2023,0.1000,4.7634,0.0400,4.5153,0.0648,4.0632,0.0543
meta-llama/llama-4-scout,dtd,262,3.5458,0.0716,4.5115,0.0662,4.6145,0.0709,4.5115,0.0623,4.7366,0.0444,4.0038,0.0764,3.6527,0.0998,4.7901,0.0418,4.5802,0.0587,4.3274,0.0484
meta-llama/llama-4-scout,flowers,266,3.2519,0.0701,4.5376,0.0576,4.3158,0.0855,4.3759,0.0783,4.8158,0.0380,3.9098,0.0747,3.7068,0.0870,4.8158,0.0349,4.7556,0.0386,4.2761,0.0433
meta-llama/llama-4-scout,pets,257,3.2840,0.0786,4.5409,0.0708,4.4669,0.0842,4.3619,0.0808,4.7121,0.0552,3.8482,0.0869,3.4125,0.0947,4.7549,0.0489,4.7276,0.0473,4.2343,0.0556
qwen/qwen3-vl-8b-instruct,cifar10,260,3.4308,0.0907,4.2038,0.0906,4.0692,0.1039,4.2462,0.0919,4.6000,0.0600,3.5500,0.0996,3.4846,0.1046,4.7231,0.0469,4.7000,0.0434,4.1120,0.0678
qwen/qwen3-vl-8b-instruct,dtd,256,3.7148,0.0944,4.3828,0.0836,4.1758,0.1008,4.2539,0.0936,4.6523,0.0562,3.9219,0.1004,3.5938,0.1073,4.6836,0.0536,4.6367,0.0550,4.2240,0.0704
qwen/qwen3-vl-8b-instruct,flowers,258,3.4612,0.0943,4.3140,0.0863,3.9147,0.1061,4.1705,0.0972,4.5426,0.0735,3.8140,0.1019,3.8101,0.1026,4.5504,0.0661,4.6318,0.0557,4.1344,0.0769
qwen/qwen3-vl-8b-instruct,pets,254,3.1693,0.0904,4.1929,0.0926,4.1811,0.1015,4.2559,0.0930,4.5512,0.0713,3.6929,0.0995,3.4291,0.1011,4.5551,0.0610,4.5000,0.0645,4.0586,0.0750
