source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,70,2.8857,0.1343,4.2857,0.1525,4.4000,0.1695,4.1714,0.0674,5.0000,0.0000,3.5571,0.1108,3.7714,0.1630,2.9571,0.0920,2.6857,0.1247,3.7460,0.0748
google/gemini-2.5-flash,cifar10,features,72,3.8472,0.0877,4.6389,0.0799,4.4722,0.1440,5.0000,0.0000,4.9722,0.0195,3.6667,0.0906,4.1528,0.1615,4.6528,0.0744,4.9306,0.0302,4.4815,0.0511
google/gemini-2.5-flash,cifar10,nle,72,3.8889,0.0701,4.7361,0.0740,4.8889,0.0643,5.0000,0.0000,4.8889,0.0373,3.8194,0.0799,4.1667,0.1312,4.8333,0.0485,4.9861,0.0139,4.5787,0.0301
google/gemini-2.5-flash,cifar10,rulebased,71,4.0423,0.0813,4.7465,0.0770,4.4507,0.1602,4.9718,0.0198,4.9859,0.0141,4.4225,0.0714,4.1831,0.1192,4.6056,0.0839,4.7042,0.0837,4.5681,0.0455
google/gemini-2.5-flash,dtd,axioms_ontology_v2,72,2.9028,0.1508,3.9306,0.1751,3.9444,0.2092,4.1667,0.0656,4.8472,0.0615,3.6667,0.1282,3.6667,0.1454,2.9028,0.1050,2.5417,0.1186,3.6188,0.0804
google/gemini-2.5-flash,dtd,features,72,3.9722,0.1203,4.8056,0.0782,4.5833,0.1423,4.9583,0.0237,4.9583,0.0237,3.9444,0.0837,3.9444,0.1606,4.7361,0.0685,4.8889,0.0506,4.5324,0.0502
google/gemini-2.5-flash,dtd,nle,72,3.7778,0.1032,4.4028,0.1059,4.6944,0.1164,4.9722,0.0195,4.8472,0.0471,4.0833,0.0856,4.4167,0.1199,4.5833,0.0760,4.8472,0.0582,4.5139,0.0535
google/gemini-2.5-flash,dtd,rulebased,72,4.4028,0.0615,4.8056,0.0703,4.3333,0.1643,4.9306,0.0302,4.9306,0.0361,4.6806,0.0620,4.3472,0.1508,4.5694,0.1043,4.5972,0.1095,4.6219,0.0521
google/gemini-2.5-flash,flowers,axioms_ontology_v2,72,3.5417,0.0968,4.6528,0.1012,4.4444,0.1642,4.1667,0.0559,4.9306,0.0302,4.4028,0.0757,4.4583,0.0947,3.2361,0.1037,3.0972,0.1547,4.1034,0.0553
google/gemini-2.5-flash,flowers,features,72,4.0139,0.1018,4.7639,0.0779,4.4722,0.1453,4.9444,0.0336,4.9583,0.0237,4.4306,0.0762,4.2222,0.1300,4.5278,0.0927,4.9306,0.0456,4.5849,0.0507
google/gemini-2.5-flash,flowers,nle,72,3.6528,0.0819,4.2778,0.1105,4.5139,0.1453,5.0000,0.0000,4.8889,0.0373,4.0139,0.0827,3.9722,0.1065,4.4861,0.0815,4.9861,0.0139,4.4213,0.0451
google/gemini-2.5-flash,flowers,rulebased,72,4.4306,0.0620,4.8472,0.0427,4.4167,0.1516,4.9861,0.0139,4.9861,0.0139,4.7778,0.0493,4.6667,0.0685,4.9306,0.0361,4.9167,0.0514,4.7732,0.0350
google/gemini-2.5-flash,pets,axioms_ontology_v2,71,3.2958,0.1124,4.6479,0.1063,4.7746,0.1102,4.2958,0.0581,5.0000,0.0000,4.2676,0.1002,4.1549,0.1295,3.3944,0.0908,3.1127,0.1509,4.1049,0.0596
google/gemini-2.5-flash,pets,features,72,3.9167,0.1061,4.8611,0.0410,5.0000,0.0000,4.9861,0.0139,4.9722,0.0195,4.2639,0.0928,4.2778,0.1123,4.9583,0.0237,4.9722,0.0278,4.6898,0.0321
google/gemini-2.5-flash,pets,nle,72,3.7222,0.0772,4.5278,0.0791,4.9722,0.0278,5.0000,0.0000,4.9861,0.0139,4.1806,0.0722,4.1389,0.0995,4.7639,0.0504,5.0000,0.0000,4.5880,0.0251
google/gemini-2.5-flash,pets,rulebased,72,4.0972,0.0565,4.8889,0.0373,4.8333,0.0949,5.0000,0.0000,5.0000,0.0000,4.5556,0.0622,4.3472,0.1206,4.6806,0.0787,4.8333,0.0625,4.6929,0.0310
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,72,2.6111,0.1228,4.7639,0.0873,4.0833,0.1975,4.1806,0.0636,4.8611,0.0603,3.1944,0.1059,3.8194,0.1444,2.9167,0.0879,2.7361,0.1341,3.6852,0.0597
google/gemma-4-26b-a4b-it,cifar10,features,72,3.5972,0.1181,4.7917,0.0683,4.8333,0.0839,5.0000,0.0000,4.9861,0.0139,3.6528,0.0931,4.0139,0.1613,4.9167,0.0328,4.9306,0.0411,4.5247,0.0429
google/gemma-4-26b-a4b-it,cifar10,nle,71,3.3380,0.1252,4.5070,0.1298,4.6197,0.1321,4.9577,0.0240,4.9014,0.0607,3.0141,0.0993,3.7606,0.1777,4.8310,0.0601,4.7606,0.0838,4.2989,0.0669
google/gemma-4-26b-a4b-it,cifar10,rulebased,72,3.7639,0.0979,4.8333,0.0766,4.7222,0.1069,4.9583,0.0237,4.9583,0.0309,3.9306,0.0955,3.7639,0.1500,4.5694,0.0945,4.6944,0.0807,4.4661,0.0498
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,72,3.3889,0.1244,4.3194,0.1324,4.5139,0.1532,4.2361,0.0827,4.6389,0.1052,3.9722,0.0948,3.7083,0.1600,3.1111,0.1179,3.3889,0.1614,3.9198,0.0754
