prompt_type,dimension,n_matched,spearman_rho,ci95_low,ci95_high
axioms_ontology_v2,comprehensibility,1146,0.1566,0.0995,0.2132
axioms_ontology_v2,concept_counting,1146,0.0845,0.0190,0.1491
axioms_ontology_v2,conciseness,1146,0.0639,-0.0130,0.1478
axioms_ontology_v2,discriminativeness,1146,0.2122,0.1642,0.2612
axioms_ontology_v2,hallucination_free,1146,0.1087,0.0468,0.1747
axioms_ontology_v2,instruction_following,1146,0.1571,0.1014,0.2127
axioms_ontology_v2,logical_coherence,1146,0.0442,-0.0091,0.0996
axioms_ontology_v2,specificity,1146,0.1461,0.0957,0.1958
axioms_ontology_v2,textual_groundedness,1146,0.1529,0.0994,0.2043
features,comprehensibility,1152,0.0320,-0.0316,0.1205
features,concept_counting,1152,-0.0349,-0.0785,0.0168
features,conciseness,1152,-0.0086,-0.0504,0.0533
features,discriminativeness,1152,0.3012,0.2488,0.3494
features,hallucination_free,1152,0.0912,0.0190,0.1695
features,instruction_following,1152,0.0540,-0.0123,0.1246
features,logical_coherence,1152,0.3471,0.2493,0.4425
features,specificity,1152,0.1295,0.0763,0.1799
features,textual_groundedness,1152,0.1805,0.1274,0.2305
nle,comprehensibility,1151,0.2984,0.1835,0.4101
nle,concept_counting,1151,0.0517,-0.0145,0.1194
nle,conciseness,1151,0.2575,0.1696,0.3400
nle,discriminativeness,1151,0.3011,0.2433,0.3557
nle,hallucination_free,1151,0.1813,0.1122,0.2450
nle,instruction_following,1151,0.1579,0.0835,0.2309
nle,logical_coherence,1151,0.3611,0.2687,0.4440
nle,specificity,1151,0.1369,0.0786,0.1877
nle,textual_groundedness,1151,0.1511,0.0939,0.2049
rulebased,comprehensibility,1150,0.0678,-0.0039,0.1455
rulebased,concept_counting,1150,-0.0025,-0.0559,0.0595
rulebased,conciseness,1150,0.1217,0.0316,0.2165
rulebased,discriminativeness,1150,0.3505,0.2949,0.3987
rulebased,hallucination_free,1150,0.0628,-0.0028,0.1314
rulebased,instruction_following,1150,0.0811,0.0208,0.1431
rulebased,logical_coherence,1150,0.1950,0.1228,0.2702
rulebased,specificity,1150,0.1694,0.1128,0.2170
rulebased,textual_groundedness,1150,0.1779,0.1221,0.2326
