source_model,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,axioms_ontology_v2,260,3.8500,0.0738,4.5500,0.0643,4.4500,0.0796,2.9500,0.0734,4.8500,0.0360,4.4154,0.0691,4.4385,0.0706,4.7885,0.0380,4.5962,0.0617,4.3209,0.0475
google/gemini-2.5-flash,features,274,4.2518,0.0537,4.8394,0.0281,4.9197,0.0269,4.9854,0.0073,4.8978,0.0229,4.3613,0.0511,4.3504,0.0579,4.8942,0.0207,4.8577,0.0346,4.7064,0.0230
google/gemini-2.5-flash,nle,282,3.9078,0.0524,4.8369,0.0338,4.9539,0.0175,4.9823,0.0079,4.9645,0.0110,4.6560,0.0435,4.8298,0.0333,4.9965,0.0035,4.9787,0.0122,4.7896,0.0151
google/gemini-2.5-flash,rulebased,275,4.8218,0.0322,4.9636,0.0144,4.9927,0.0073,4.9964,0.0036,4.9818,0.0081,4.9491,0.0142,4.8727,0.0293,4.9309,0.0205,4.9273,0.0238,4.9374,0.0098
google/gemma-4-26b-a4b-it,axioms_ontology_v2,260,3.3692,0.0661,4.6692,0.0542,4.7346,0.0570,2.8462,0.0681,4.8692,0.0369,4.2077,0.0762,4.2885,0.0787,4.7615,0.0461,4.7154,0.0480,4.2735,0.0399
google/gemma-4-26b-a4b-it,features,274,4.0657,0.0572,4.8869,0.0272,4.8942,0.0314,5.0000,0.0000,4.9672,0.0120,4.3285,0.0579,4.0036,0.0734,4.9891,0.0063,4.8321,0.0394,4.6630,0.0244
google/gemma-4-26b-a4b-it,nle,274,3.5000,0.0599,4.7774,0.0406,4.8540,0.0387,4.9380,0.0200,4.7482,0.0419,4.1350,0.0638,4.3431,0.0658,4.9307,0.0199,4.8686,0.0286,4.5661,0.0281
google/gemma-4-26b-a4b-it,rulebased,265,4.3660,0.0547,4.9472,0.0197,4.9208,0.0296,4.9547,0.0158,4.8830,0.0315,4.8038,0.0333,4.7585,0.0451,4.8830,0.0266,4.8755,0.0305,4.8214,0.0196
meta-llama/llama-4-scout,axioms_ontology_v2,244,2.5492,0.0809,4.0287,0.0993,3.5205,0.1219,2.4795,0.0771,4.4877,0.0778,3.0697,0.1129,3.0820,0.1171,4.5164,0.0698,4.4344,0.0741,3.5742,0.0724
meta-llama/llama-4-scout,features,267,3.6180,0.0640,4.7790,0.0368,4.8277,0.0454,5.0000,0.0000,4.8090,0.0289,3.8240,0.0680,3.3333,0.0828,4.9213,0.0217,4.6966,0.0521,4.4232,0.0307
meta-llama/llama-4-scout,nle,276,3.4928,0.0598,4.5036,0.0619,4.6993,0.0610,4.9312,0.0211,4.6594,0.0436,3.9710,0.0700,3.7826,0.0873,4.9457,0.0163,4.7536,0.0386,4.4155,0.0372
meta-llama/llama-4-scout,rulebased,260,3.5000,0.0752,4.5231,0.0630,4.5692,0.0674,4.9846,0.0076,4.9692,0.0107,4.2115,0.0646,3.7423,0.0917,4.7115,0.0384,4.6731,0.0455,4.4316,0.0365
qwen/qwen3-vl-8b-instruct,axioms_ontology_v2,221,1.1493,0.0352,2.3982,0.1190,1.1267,0.0472,1.4389,0.0510,3.3439,0.1125,1.0769,0.0338,1.1584,0.0404,3.4842,0.0929,3.6833,0.0846,2.0955,0.0435
qwen/qwen3-vl-8b-instruct,features,269,4.0446,0.0569,4.9145,0.0201,4.8959,0.0310,4.9963,0.0037,4.9331,0.0200,4.1896,0.0609,3.8030,0.0767,4.9851,0.0074,4.8178,0.0398,4.6200,0.0237
qwen/qwen3-vl-8b-instruct,nle,269,3.8996,0.0548,4.6208,0.0569,4.9071,0.0326,4.9926,0.0052,4.8476,0.0271,4.5428,0.0472,4.4349,0.0671,4.9331,0.0185,4.8587,0.0285,4.6708,0.0269
qwen/qwen3-vl-8b-instruct,rulebased,269,4.2751,0.0621,4.8253,0.0385,4.8810,0.0358,5.0000,0.0000,5.0000,0.0000,4.6914,0.0455,4.4907,0.0653,4.9071,0.0270,4.9442,0.0218,4.7794,0.0216
