source_model,dataset,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,285,3.6702,0.0548,4.6035,0.0512,4.5544,0.0707,4.7895,0.0271,4.9614,0.0114,3.8667,0.0486,4.0702,0.0728,4.2702,0.0586,4.3368,0.0678,4.3470,0.0332
google/gemini-2.5-flash,dtd,288,3.7639,0.0651,4.4861,0.0610,4.3889,0.0822,4.7569,0.0280,4.8958,0.0222,4.0938,0.0512,4.0938,0.0743,4.1979,0.0630,4.2188,0.0727,4.3218,0.0385
google/gemini-2.5-flash,flowers,288,3.9097,0.0479,4.6354,0.0452,4.4618,0.0755,4.7743,0.0266,4.9410,0.0139,4.4062,0.0393,4.3299,0.0532,4.2951,0.0556,4.4826,0.0634,4.4707,0.0276
google/gemini-2.5-flash,pets,287,3.7596,0.0484,4.7317,0.0367,4.8955,0.0371,4.8223,0.0231,4.9895,0.0060,4.3171,0.0422,4.2300,0.0579,4.4530,0.0490,4.4843,0.0620,4.5203,0.0242
google/gemma-4-26b-a4b-it,cifar10,287,3.3275,0.0635,4.7247,0.0470,4.5645,0.0702,4.7735,0.0271,4.9268,0.0230,3.4495,0.0535,3.8397,0.0792,4.3066,0.0604,4.2787,0.0698,4.2435,0.0339
google/gemma-4-26b-a4b-it,dtd,288,3.7396,0.0556,4.6181,0.0509,4.5486,0.0722,4.6701,0.0358,4.6632,0.0502,4.0521,0.0432,3.8090,0.0770,4.2153,0.0640,4.3021,0.0661,4.2909,0.0346
google/gemma-4-26b-a4b-it,flowers,286,3.7028,0.0497,4.8671,0.0291,4.7168,0.0592,4.8601,0.0217,4.9755,0.0125,4.2273,0.0415,4.0664,0.0677,4.5350,0.0471,4.6224,0.0533,4.5082,0.0231
google/gemma-4-26b-a4b-it,pets,288,3.2986,0.0561,4.8507,0.0338,4.7882,0.0521,4.8264,0.0239,4.9722,0.0097,3.8854,0.0473,3.8229,0.0709,4.4479,0.0564,4.4340,0.0634,4.3696,0.0293
meta-llama/llama-4-scout,cifar10,288,2.8403,0.0686,4.4410,0.0629,4.1979,0.0915,4.6493,0.0377,4.8646,0.0250,3.0764,0.0640,3.1250,0.0904,3.9444,0.0666,4.0938,0.0732,3.9147,0.0406
meta-llama/llama-4-scout,dtd,287,3.1289,0.0724,4.4948,0.0604,4.1986,0.0927,4.7073,0.0344,4.8188,0.0329,3.4007,0.0593,3.0348,0.0867,4.0314,0.0667,4.0697,0.0752,3.9872,0.0416
meta-llama/llama-4-scout,flowers,288,2.9062,0.0623,4.5174,0.0537,3.8889,0.1008,4.7014,0.0341,4.9236,0.0164,3.2465,0.0575,2.9479,0.0718,4.2604,0.0637,4.2639,0.0713,3.9618,0.0351
meta-llama/llama-4-scout,pets,288,2.9201,0.0656,4.6389,0.0470,4.6840,0.0626,4.6771,0.0346,4.9062,0.0247,3.2847,0.0662,3.1007,0.0793,4.2986,0.0613,4.3194,0.0686,4.0922,0.0387
qwen/qwen3-vl-8b-instruct,cifar10,287,3.0244,0.0795,4.4739,0.0558,4.4948,0.0756,4.5854,0.0468,4.9373,0.0152,3.0976,0.0791,3.3798,0.0956,4.1185,0.0649,4.3763,0.0690,4.0542,0.0460
qwen/qwen3-vl-8b-instruct,dtd,288,3.2049,0.0831,4.5174,0.0556,4.3021,0.0868,4.5799,0.0454,4.9201,0.0181,3.3090,0.0842,3.1875,0.0918,4.1111,0.0642,4.3438,0.0714,4.0529,0.0471
qwen/qwen3-vl-8b-instruct,flowers,288,2.9896,0.0789,4.5347,0.0556,4.3924,0.0815,4.5347,0.0516,4.9826,0.0077,3.2778,0.0862,3.2292,0.0865,4.3576,0.0592,4.6285,0.0560,4.1030,0.0457
qwen/qwen3-vl-8b-instruct,pets,288,2.8194,0.0732,4.6181,0.0494,4.6910,0.0620,4.6285,0.0410,4.9826,0.0091,3.1424,0.0791,3.0417,0.0857,4.1944,0.0610,4.4132,0.0683,4.0590,0.0430
