prompt_type,dimension,judged_trials,mean_score
axioms_ontology_v2,comprehensibility,4,4.0000
axioms_ontology_v2,concept_counting,4,3.2500
axioms_ontology_v2,conciseness,4,5.0000
axioms_ontology_v2,discriminativeness,4,3.2500
axioms_ontology_v2,explanation_reproducibility,4,4.5000
axioms_ontology_v2,hallucination_free,4,4.5000
axioms_ontology_v2,instruction_following,4,4.0000
axioms_ontology_v2,logical_coherence,4,4.0000
axioms_ontology_v2,specificity,4,3.7500
axioms_ontology_v2,textual_groundedness,4,2.5000
features,comprehensibility,4,5.0000
features,concept_counting,4,4.2500
features,conciseness,4,5.0000
features,discriminativeness,4,4.5000
features,explanation_reproducibility,4,5.0000
features,hallucination_free,4,4.7500
features,instruction_following,4,5.0000
features,logical_coherence,4,5.0000
features,specificity,4,4.0000
features,textual_groundedness,4,4.0000
nle,comprehensibility,4,4.5000
nle,concept_counting,4,3.2500
nle,conciseness,4,3.5000
nle,discriminativeness,4,3.5000
nle,explanation_reproducibility,4,4.2500
nle,hallucination_free,4,4.0000
nle,instruction_following,4,4.7500
nle,logical_coherence,4,4.2500
nle,specificity,4,3.7500
nle,textual_groundedness,4,3.5000
rulebased,comprehensibility,4,4.5000
rulebased,concept_counting,4,4.0000
rulebased,conciseness,4,4.7500
rulebased,discriminativeness,4,3.5000
rulebased,explanation_reproducibility,4,4.5000
rulebased,hallucination_free,4,4.5000
rulebased,instruction_following,4,4.5000
rulebased,logical_coherence,4,4.5000
rulebased,specificity,4,4.0000
rulebased,textual_groundedness,4,3.5000
