subset,pair,metric,n_trials,spearman_r,ci_lower,ci_upper,pvalue,pvalue_bonferroni
all,A-B,textual_groundedness,3504,0.4556,0.4263,0.484,0.0,0.0
all,A-B,hallucination_free,3504,0.3385,0.2982,0.3769,0.0,0.0
all,A-B,concept_counting,3504,0.1687,0.1269,0.212,0.0,0.0
all,A-B,comprehensibility,3504,0.691,0.6553,0.7253,0.0,0.0
all,A-B,conciseness,3504,0.4445,0.3907,0.4968,0.0,0.0
all,A-B,specificity,3504,0.5486,0.5233,0.5732,0.0,0.0
all,A-B,discriminativeness,3504,0.536,0.5091,0.5623,0.0,0.0
all,A-B,instruction_following,3504,0.2457,0.2069,0.2828,0.0,0.0
all,A-B,logical_coherence,3504,0.4111,0.3698,0.4504,0.0,0.0
all,A-C,textual_groundedness,3504,0.4942,0.4676,0.5214,0.0,0.0
all,A-C,hallucination_free,3504,0.2783,0.2372,0.319,0.0,0.0
all,A-C,concept_counting,3504,0.1701,0.1267,0.2141,0.0,0.0
all,A-C,comprehensibility,3504,0.7333,0.6992,0.7627,0.0,0.0
all,A-C,conciseness,3504,0.3612,0.3035,0.4192,0.0,0.0
all,A-C,specificity,3504,0.5616,0.5355,0.5858,0.0,0.0
all,A-C,discriminativeness,3504,0.5312,0.5016,0.5584,0.0,0.0
all,A-C,instruction_following,3504,0.3151,0.2777,0.3513,0.0,0.0
all,A-C,logical_coherence,3504,0.3809,0.3401,0.4209,0.0,0.0
all,B-C,textual_groundedness,3504,0.5623,0.5357,0.5898,0.0,0.0
all,B-C,hallucination_free,3504,0.4273,0.3884,0.4664,0.0,0.0
all,B-C,concept_counting,3504,0.5231,0.4769,0.5663,0.0,0.0
all,B-C,comprehensibility,3504,0.8274,0.8009,0.8526,0.0,0.0
all,B-C,conciseness,3504,0.3155,0.2662,0.3644,0.0,0.0
all,B-C,specificity,3504,0.6198,0.5914,0.6483,0.0,0.0
all,B-C,discriminativeness,3504,0.6268,0.5981,0.6526,0.0,0.0
all,B-C,instruction_following,3504,0.339,0.2858,0.3897,0.0,0.0
all,B-C,logical_coherence,3504,0.4962,0.4514,0.5379,0.0,0.0
no_axioms,A-B,textual_groundedness,3007,0.4213,0.3914,0.452,0.0,0.0
no_axioms,A-B,hallucination_free,3007,0.3354,0.292,0.3793,0.0,0.0
no_axioms,A-B,concept_counting,3007,0.1341,0.0886,0.1808,0.0,0.0
no_axioms,A-B,comprehensibility,3007,0.3658,0.2775,0.4497,0.0,0.0
no_axioms,A-B,conciseness,3007,0.4555,0.3967,0.5126,0.0,0.0
no_axioms,A-B,specificity,3007,0.5013,0.4722,0.5299,0.0,0.0
no_axioms,A-B,discriminativeness,3007,0.519,0.4895,0.5482,0.0,0.0
no_axioms,A-B,instruction_following,3007,0.2203,0.176,0.2671,0.0,0.0
no_axioms,A-B,logical_coherence,3007,0.3702,0.3172,0.4225,0.0,0.0
no_axioms,A-C,textual_groundedness,3007,0.4171,0.3872,0.4471,0.0,0.0
no_axioms,A-C,hallucination_free,3007,0.2508,0.2052,0.2969,0.0,0.0
no_axioms,A-C,concept_counting,3007,0.1465,0.0958,0.1973,0.0,0.0
no_axioms,A-C,comprehensibility,3007,0.3395,0.2391,0.4332,0.0,0.0
no_axioms,A-C,conciseness,3007,0.4235,0.3573,0.4832,0.0,0.0
no_axioms,A-C,specificity,3007,0.4976,0.4691,0.527,0.0,0.0
no_axioms,A-C,discriminativeness,3007,0.4876,0.4567,0.5178,0.0,0.0
no_axioms,A-C,instruction_following,3007,0.2896,0.2408,0.3328,0.0,0.0
no_axioms,A-C,logical_coherence,3007,0.4393,0.3846,0.4921,0.0,0.0
no_axioms,B-C,textual_groundedness,3007,0.5243,0.4945,0.5518,0.0,0.0
no_axioms,B-C,hallucination_free,3007,0.412,0.3658,0.4541,0.0,0.0
no_axioms,B-C,concept_counting,3007,0.3236,0.2612,0.3899,0.0,0.0
no_axioms,B-C,comprehensibility,3007,0.4485,0.3336,0.5459,0.0,0.0
no_axioms,B-C,conciseness,3007,0.3741,0.317,0.428,0.0,0.0
no_axioms,B-C,specificity,3007,0.5686,0.5371,0.5996,0.0,0.0
no_axioms,B-C,discriminativeness,3007,0.6075,0.5781,0.6342,0.0,0.0
no_axioms,B-C,instruction_following,3007,0.3039,0.2454,0.3654,0.0,0.0
no_axioms,B-C,logical_coherence,3007,0.4763,0.4213,0.5243,0.0,0.0
