item_id,annotator_pair,model,dataset,prompt_type,config_n,config_k,run_id,query_index_within_episode,condition,model_short,stratum,ann1_TG,ann2_TG,mean_TG,ann1_HF,ann2_HF,mean_HF,ann1_CC,ann2_CC,mean_CC,ann1_CP,ann2_CP,mean_CP,ann1_Cn,ann2_Cn,mean_Cn,ann1_S,ann2_S,mean_S,ann1_LD,ann2_LD,mean_LD,ann1_IF,ann2_IF,mean_IF,ann1_LC,ann2_LC,mean_LC,textual_groundedness,hallucination_free,concept_counting,comprehensibility,conciseness,specificity,discriminativeness,instruction_following,logical_coherence
1,carmen_leticia,google/gemini-2.5-flash,cifar10,nle,3,1,3,1,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_cifar10,5,4,4.5,5,5,5.0,5,4,4.5,5,4,4.5,3,3,3.0,3,4,3.5,5,3,4.0,5,5,5.0,5,4,4.5,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
2,carmen_leticia,google/gemini-2.5-flash,cifar10,nle,4,1,1,0,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_cifar10,5,5,5.0,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0
3,carmen_leticia,google/gemini-2.5-flash,cifar10,nle,4,1,0,2,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_cifar10,3,5,4.0,5,5,5.0,4,5,4.5,4,5,4.5,5,5,5.0,3,5,4.0,3,5,4.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
4,carmen_leticia,google/gemini-2.5-flash,dtd,nle,4,1,1,0,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_dtd,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,5,5,5.0,3,4,3.5,4,4,4.0,5,5,5.0,4,3,3.5,4.0,2.0,1.0,5.0,5.0,4.0,1.0,3.0,2.0
5,carmen_leticia,google/gemini-2.5-flash,dtd,nle,2,5,4,1,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_dtd,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
6,carmen_leticia,google/gemini-2.5-flash,dtd,nle,4,1,1,2,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_dtd,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
7,carmen_leticia,google/gemini-2.5-flash,flowers,nle,4,1,0,3,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_flowers,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0
8,carmen_leticia,google/gemini-2.5-flash,flowers,nle,2,5,0,1,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_flowers,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
9,carmen_leticia,google/gemini-2.5-flash,flowers,nle,2,5,5,1,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_flowers,3,5,4.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,3,5,4.0,3,5,4.0,5,5,5.0,5,5,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,carmen_leticia,google/gemini-2.5-flash,pets,nle,4,1,0,2,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_pets,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,2,5,3.5,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
