prompt_type,dimension,judged_trials,mean_score,se_score
axioms_ontology_v2,comprehensibility,985,2.4670,0.0391
axioms_ontology_v2,concept_counting,985,3.5492,0.0602
axioms_ontology_v2,conciseness,985,4.4274,0.0395
axioms_ontology_v2,discriminativeness,985,3.3269,0.0580
axioms_ontology_v2,hallucination_free,985,3.9695,0.0509
axioms_ontology_v2,instruction_following,985,4.4213,0.0353
axioms_ontology_v2,logical_coherence,985,4.3827,0.0357
axioms_ontology_v2,specificity,985,3.2782,0.0572
axioms_ontology_v2,textual_groundedness,985,2.7949,0.0465
features,comprehensibility,1084,4.9954,0.0021
features,concept_counting,1084,4.8847,0.0171
features,conciseness,1084,4.9022,0.0110
features,discriminativeness,1084,3.8764,0.0382
features,hallucination_free,1084,4.8552,0.0144
features,instruction_following,1084,4.9474,0.0079
features,logical_coherence,1084,4.8017,0.0210
features,specificity,1084,4.1780,0.0305
features,textual_groundedness,1084,3.9972,0.0298
nle,comprehensibility,1101,4.9609,0.0077
nle,concept_counting,1101,4.8538,0.0204
nle,conciseness,1101,4.8056,0.0171
nle,discriminativeness,1101,4.3497,0.0348
nle,hallucination_free,1101,4.6857,0.0250
nle,instruction_following,1101,4.9519,0.0079
nle,logical_coherence,1101,4.8656,0.0144
nle,specificity,1101,4.3270,0.0298
nle,textual_groundedness,1101,3.7003,0.0290
rulebased,comprehensibility,1069,4.9841,0.0045
rulebased,concept_counting,1069,4.8438,0.0207
rulebased,conciseness,1069,4.9588,0.0086
rulebased,discriminativeness,1069,4.4733,0.0335
rulebased,hallucination_free,1069,4.8176,0.0198
rulebased,instruction_following,1069,4.8597,0.0145
rulebased,logical_coherence,1069,4.8569,0.0160
rulebased,specificity,1069,4.6688,0.0230
rulebased,textual_groundedness,1069,4.2498,0.0322
