source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,45,3.7333,0.2069,4.4444,0.1728,4.1333,0.2283,2.4222,0.2389,4.8444,0.1003,4.1111,0.2041,3.8889,0.2362,4.5778,0.1251,3.8222,0.2384,3.9975,0.1429
google/gemini-2.5-flash,cifar10,features,67,3.7612,0.1205,4.8806,0.0690,4.8955,0.0677,5.0000,0.0000,4.9254,0.0387,4.0896,0.1217,3.9104,0.1357,4.9403,0.0292,4.9104,0.0509,4.5904,0.0492
google/gemini-2.5-flash,cifar10,nle,67,3.5075,0.1113,4.4478,0.1151,4.8507,0.0857,4.9403,0.0292,4.7313,0.0724,4.0448,0.1318,4.4925,0.1229,4.9104,0.0411,4.9104,0.0351,4.5373,0.0579
google/gemini-2.5-flash,cifar10,rulebased,69,4.6812,0.0758,4.9130,0.0495,4.9275,0.0595,5.0000,0.0000,4.9855,0.0145,4.8116,0.0693,4.8116,0.0723,5.0000,0.0000,4.9710,0.0203,4.9002,0.0334
google/gemini-2.5-flash,dtd,axioms_ontology_v2,39,4.0513,0.2322,4.4615,0.1903,3.7436,0.2886,2.6154,0.2740,4.8974,0.0614,4.2308,0.2394,3.9487,0.2622,4.6923,0.0983,3.3077,0.2753,3.9943,0.1583
google/gemini-2.5-flash,dtd,features,70,4.1857,0.1209,4.8286,0.0674,4.9143,0.0602,5.0000,0.0000,4.8429,0.0598,4.5714,0.1088,4.1286,0.1423,4.8429,0.0438,4.8286,0.0643,4.6825,0.0535
google/gemini-2.5-flash,dtd,nle,68,4.0588,0.1106,4.7353,0.0828,4.8676,0.0836,4.9559,0.0441,4.8235,0.0724,4.7941,0.0712,4.8529,0.0791,4.9853,0.0147,4.9265,0.0483,4.7778,0.0535
google/gemini-2.5-flash,dtd,rulebased,67,4.8955,0.0432,4.9552,0.0448,5.0000,0.0000,5.0000,0.0000,4.9552,0.0332,4.9701,0.0299,4.7164,0.1121,4.9552,0.0332,4.8806,0.0753,4.9254,0.0274
google/gemini-2.5-flash,flowers,axioms_ontology_v2,28,4.6071,0.1572,4.9643,0.0357,4.2857,0.2948,2.7143,0.3595,4.8571,0.1429,4.8214,0.1460,4.6429,0.2071,4.7500,0.0833,4.3929,0.2431,4.4484,0.1048
google/gemini-2.5-flash,flowers,features,67,4.2388,0.1107,4.8209,0.0703,4.7313,0.0965,4.9403,0.0361,4.8955,0.0482,4.7015,0.0737,4.4925,0.1210,4.8060,0.0646,4.8358,0.0659,4.7181,0.0558
google/gemini-2.5-flash,flowers,nle,67,3.5821,0.1243,4.5075,0.1191,4.7313,0.1033,4.9552,0.0255,4.7313,0.0754,4.6716,0.0834,4.8358,0.0755,4.9701,0.0209,4.9851,0.0149,4.6634,0.0450
google/gemini-2.5-flash,flowers,rulebased,70,4.8429,0.0438,4.9429,0.0279,4.9143,0.0602,5.0000,0.0000,5.0000,0.0000,4.9714,0.0201,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.9635,0.0127
google/gemini-2.5-flash,pets,axioms_ontology_v2,34,4.6176,0.1581,4.8529,0.0956,4.7353,0.1652,2.8235,0.3283,5.0000,0.0000,4.6176,0.1841,4.4412,0.1897,4.7647,0.0738,4.4118,0.2116,4.4739,0.0917
google/gemini-2.5-flash,pets,features,68,4.0441,0.1316,4.7941,0.0537,4.9412,0.0588,5.0000,0.0000,5.0000,0.0000,4.3824,0.1240,4.2206,0.1272,4.9412,0.0356,4.9412,0.0356,4.6961,0.0454
google/gemini-2.5-flash,pets,nle,64,3.5625,0.1458,4.2812,0.1502,4.9062,0.0694,4.9844,0.0156,4.9062,0.0429,4.5938,0.0825,4.4688,0.1279,4.9219,0.0338,4.9062,0.0367,4.6146,0.0534
google/gemini-2.5-flash,pets,rulebased,70,4.6571,0.0758,4.9000,0.0361,5.0000,0.0000,5.0000,0.0000,4.9857,0.0143,4.9429,0.0279,4.9429,0.0571,4.9429,0.0346,4.9429,0.0450,4.9238,0.0167
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,49,3.4286,0.1774,4.6735,0.1317,4.8163,0.1154,2.7347,0.1839,4.9184,0.0571,3.9592,0.1977,4.3673,0.1837,4.8367,0.0892,4.8571,0.0714,4.2880,0.0874
google/gemma-4-26b-a4b-it,cifar10,features,68,3.7794,0.1289,4.8529,0.0703,4.7794,0.1044,5.0000,0.0000,5.0000,0.0000,4.1324,0.1324,4.1029,0.1376,4.9853,0.0147,4.6618,0.1121,4.5882,0.0581
google/gemma-4-26b-a4b-it,cifar10,nle,68,3.0147,0.1058,4.3971,0.1206,4.8529,0.0871,4.8971,0.0519,4.7500,0.0766,3.3235,0.1316,3.8382,0.1590,4.8088,0.0524,4.7794,0.0751,4.2958,0.0629
google/gemma-4-26b-a4b-it,cifar10,rulebased,69,4.4203,0.1041,4.7826,0.1009,4.8841,0.0731,4.9855,0.0145,4.9855,0.0145,4.6667,0.0916,4.6957,0.1059,4.9565,0.0247,4.8696,0.0682,4.8052,0.0457
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,40,4.4000,0.1633,4.6250,0.1463,4.4750,0.1993,2.7750,0.2544,4.5250,0.1790,4.3500,0.2043,4.3000,0.2298,4.4750,0.1519,4.1750,0.2084,4.2333,0.1315
google/gemma-4-26b-a4b-it,dtd,features,66,4.0152,0.1357,4.7424,0.0973,4.8485,0.0897,5.0000,0.0000,5.0000,0.0000,4.5758,0.1037,3.9091,0.1612,4.9697,0.0213,4.8485,0.0786,4.6566,0.0572
google/gemma-4-26b-a4b-it,dtd,nle,65,3.8154,0.1199,4.2923,0.1450,4.6923,0.1199,4.7692,0.0950,4.4615,0.1371,4.3538,0.1106,4.3538,0.1359,4.8154,0.0690,4.6000,0.1047,4.4615,0.0808
google/gemma-4-26b-a4b-it,dtd,rulebased,67,4.7015,0.0796,4.7463,0.0959,5.0000,0.0000,4.8806,0.0500,4.6716,0.0936,4.8358,0.0546,4.6269,0.1081,4.7015,0.0824,4.6567,0.1010,4.7579,0.0531
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,28,4.4286,0.1885,4.9643,0.0357,4.6786,0.1858,2.5714,0.3230,5.0000,0.0000,4.9643,0.0357,4.9643,0.0357,4.9643,0.0357,4.9643,0.0357,4.6111,0.0579
google/gemma-4-26b-a4b-it,flowers,features,64,3.8281,0.1211,4.9062,0.0367,4.6562,0.1264,5.0000,0.0000,5.0000,0.0000,4.5312,0.0771,3.7969,0.1530,5.0000,0.0000,4.9219,0.0462,4.6267,0.0384
google/gemma-4-26b-a4b-it,flowers,nle,68,3.2794,0.1164,4.5735,0.1054,4.6471,0.1253,4.9412,0.0287,4.8088,0.0671,4.3971,0.1008,4.2647,0.1415,4.9118,0.0456,4.8676,0.0551,4.5212,0.0613
