dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
pets,classification,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,11.8946,5.9415,5.7676,0,datasets/pets/classification/N2_K1_Q1/run_0
pets,classification,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,11.4246,5.7089,5.5199,0,datasets/pets/classification/N2_K1_Q1/run_1
pets,nle,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,9.1480,4.5666,4.3233,0,datasets/pets/nle/N2_K1_Q1/run_0
pets,nle,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,5.9542,2.9610,2.7243,0,datasets/pets/nle/N2_K1_Q1/run_1
pets,features,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,3.3181,1.6558,1.3992,0,datasets/pets/features/N2_K1_Q1/run_0
pets,features,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,2.7433,1.3695,1.1351,0,datasets/pets/features/N2_K1_Q1/run_1
pets,rulebased,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,6.9443,3.4697,3.2197,0,datasets/pets/rulebased/N2_K1_Q1/run_0
pets,rulebased,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,8.2417,4.1031,3.9209,0,datasets/pets/rulebased/N2_K1_Q1/run_1
pets,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,8.5874,4.2660,3.9595,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_0
pets,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,3.5287,1.7479,1.5105,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_1
