dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,4.7077,2.3216,2.2269,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,2.3588,1.1773,1.0110,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_1
flowers,classification,google/gemini-2.5-flash,2,1,1,2,2,2,0,1.0000,2.1038,1.0499,0.9473,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_2
flowers,classification,google/gemini-2.5-flash,2,1,1,3,2,2,0,1.0000,18.3287,9.1618,9.0068,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_3
flowers,classification,google/gemini-2.5-flash,2,1,1,4,2,2,0,1.0000,2.0819,1.0389,0.9662,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_4
flowers,classification,google/gemini-2.5-flash,2,1,1,5,2,2,0,1.0000,3.7021,1.8483,1.7388,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K1_Q1/run_5
flowers,classification,google/gemini-2.5-flash,2,5,1,0,2,2,0,1.0000,2.6644,1.3296,1.0484,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_0
flowers,classification,google/gemini-2.5-flash,2,5,1,1,2,2,0,1.0000,2.8398,1.4173,1.1441,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_1
flowers,classification,google/gemini-2.5-flash,2,5,1,2,2,2,0,1.0000,3.0922,1.5436,1.1155,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_2
flowers,classification,google/gemini-2.5-flash,2,5,1,3,2,2,0,1.0000,3.2535,1.6197,1.1186,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_3
flowers,classification,google/gemini-2.5-flash,2,5,1,4,2,2,0,1.0000,3.2514,1.6207,1.2025,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_4
flowers,classification,google/gemini-2.5-flash,2,5,1,5,2,2,0,1.0000,3.5853,1.7907,1.5097,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N2_K5_Q1/run_5
flowers,classification,google/gemini-2.5-flash,3,1,1,0,3,3,0,1.0000,3.5426,1.1778,0.9714,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K1_Q1/run_0
flowers,classification,google/gemini-2.5-flash,3,1,1,1,3,3,0,1.0000,9.1286,3.0414,2.8734,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K1_Q1/run_1
flowers,classification,google/gemini-2.5-flash,3,1,1,2,3,3,0,1.0000,8.4494,2.8126,2.6409,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K1_Q1/run_2
flowers,classification,google/gemini-2.5-flash,3,1,1,3,3,3,0,1.0000,7.1175,2.3697,2.2070,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K1_Q1/run_3
flowers,classification,google/gemini-2.5-flash,3,5,1,0,3,3,0,1.0000,10.1777,3.3857,3.0504,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K5_Q1/run_0
flowers,classification,google/gemini-2.5-flash,3,5,1,1,3,3,0,1.0000,5.6342,1.8740,1.4521,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K5_Q1/run_1
flowers,classification,google/gemini-2.5-flash,3,5,1,2,3,3,0,1.0000,6.2297,2.0744,1.5342,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K5_Q1/run_2
flowers,classification,google/gemini-2.5-flash,3,5,1,3,3,3,0,1.0000,10.5446,3.5130,3.1135,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N3_K5_Q1/run_3
flowers,classification,google/gemini-2.5-flash,4,1,1,0,4,4,0,1.0000,7.8256,1.9541,1.7613,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K1_Q1/run_0
flowers,classification,google/gemini-2.5-flash,4,1,1,1,4,4,0,1.0000,20.6094,5.1505,4.9796,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K1_Q1/run_1
flowers,classification,google/gemini-2.5-flash,4,1,1,2,4,4,0,1.0000,4.6555,1.1627,0.9427,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K1_Q1/run_2
flowers,classification,google/gemini-2.5-flash,4,5,1,0,4,4,0,1.0000,11.8597,2.9619,2.3068,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K5_Q1/run_0
flowers,classification,google/gemini-2.5-flash,4,5,1,1,4,4,0,1.0000,28.1591,7.0375,6.2220,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K5_Q1/run_1
flowers,classification,google/gemini-2.5-flash,4,5,1,2,4,4,0,1.0000,10.5080,2.6241,2.0293,0,models/google-gemini-2.5-flash/datasets/flowers/classification/N4_K5_Q1/run_2
flowers,nle,google/gemini-2.5-flash,2,1,1,0,2,2,0,1.0000,3.3580,1.6770,1.5411,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,google/gemini-2.5-flash,2,1,1,1,2,2,0,1.0000,2.8555,1.4242,1.3057,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_1
flowers,nle,google/gemini-2.5-flash,2,1,1,2,2,2,0,1.0000,2.8751,1.4344,1.2899,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_2
flowers,nle,google/gemini-2.5-flash,2,1,1,3,2,2,0,1.0000,2.5173,1.2561,1.0696,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_3
flowers,nle,google/gemini-2.5-flash,2,1,1,4,2,2,0,1.0000,3.2114,1.6000,1.4305,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_4
flowers,nle,google/gemini-2.5-flash,2,1,1,5,2,2,0,1.0000,4.1597,2.0751,1.9374,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K1_Q1/run_5
flowers,nle,google/gemini-2.5-flash,2,5,1,0,2,2,0,1.0000,4.6431,2.3165,2.0359,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K5_Q1/run_0
flowers,nle,google/gemini-2.5-flash,2,5,1,1,2,2,0,1.0000,3.9967,1.9948,1.6292,0,models/google-gemini-2.5-flash/datasets/flowers/nle/N2_K5_Q1/run_1
