prompt_type,dimension,n_matched,spearman_rho,ci95_low,ci95_high
axioms_ontology_v2,comprehensibility,588,0.0968,0.0237,0.1614
axioms_ontology_v2,concept_counting,588,0.1439,0.0624,0.2288
axioms_ontology_v2,conciseness,588,0.0352,-0.0509,0.1341
axioms_ontology_v2,discriminativeness,588,0.2390,0.1593,0.3203
axioms_ontology_v2,hallucination_free,588,0.2443,0.1453,0.3424
axioms_ontology_v2,instruction_following,588,0.0045,-0.0824,0.0917
axioms_ontology_v2,logical_coherence,588,0.1444,0.0608,0.2268
axioms_ontology_v2,specificity,588,0.1839,0.1058,0.2600
axioms_ontology_v2,textual_groundedness,588,0.1641,0.0851,0.2349
features,comprehensibility,1062,-0.0188,-0.0276,-0.0087
features,concept_counting,1062,0.0166,-0.0432,0.0874
features,conciseness,1062,-0.0444,-0.0687,-0.0014
features,discriminativeness,1062,0.2406,0.1741,0.3016
features,hallucination_free,1062,0.0852,0.0094,0.1623
features,instruction_following,1062,0.0426,-0.0244,0.1161
features,logical_coherence,1062,0.1884,0.1017,0.2736
features,specificity,1062,0.0571,-0.0073,0.1175
features,textual_groundedness,1062,0.1270,0.0574,0.1877
nle,comprehensibility,1075,0.2208,0.1167,0.3188
nle,concept_counting,1075,0.1100,0.0310,0.1973
nle,conciseness,1075,0.1601,0.0775,0.2360
nle,discriminativeness,1075,0.2831,0.2177,0.3468
nle,hallucination_free,1075,0.2146,0.1435,0.2805
nle,instruction_following,1075,0.0636,-0.0100,0.1394
nle,logical_coherence,1075,0.2914,0.2095,0.3720
nle,specificity,1075,0.1678,0.1007,0.2323
nle,textual_groundedness,1075,0.1185,0.0522,0.1851
rulebased,comprehensibility,1050,0.1327,0.0209,0.2444
rulebased,concept_counting,1050,0.1455,0.0603,0.2414
rulebased,conciseness,1050,0.0579,-0.0238,0.1470
rulebased,discriminativeness,1050,0.3557,0.2689,0.4303
rulebased,hallucination_free,1050,0.2102,0.1155,0.3060
rulebased,instruction_following,1050,0.0409,-0.0278,0.1146
rulebased,logical_coherence,1050,0.2713,0.1670,0.3699
rulebased,specificity,1050,0.1771,0.0950,0.2557
rulebased,textual_groundedness,1050,0.1529,0.0866,0.2114
