prompt_type,model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
axioms_ontology_v2,google/gemini-2.5-flash,dtd,65,72,0.9028,0.034915,0.8126,0.9521
axioms_ontology_v2,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
axioms_ontology_v2,google/gemini-2.5-flash,pets,71,72,0.9861,0.013792,0.9254,0.9975
axioms_ontology_v2,google/gemma-4-26b-a4b-it,cifar10,70,72,0.9722,0.019367,0.9043,0.9923
axioms_ontology_v2,google/gemma-4-26b-a4b-it,dtd,60,72,0.8333,0.043921,0.7309,0.9020
axioms_ontology_v2,google/gemma-4-26b-a4b-it,flowers,71,72,0.9861,0.013792,0.9254,0.9975
axioms_ontology_v2,google/gemma-4-26b-a4b-it,pets,65,72,0.9028,0.034915,0.8126,0.9521
axioms_ontology_v2,meta-llama/llama-4-scout,cifar10,62,72,0.8611,0.040757,0.7629,0.9228
axioms_ontology_v2,meta-llama/llama-4-scout,dtd,60,72,0.8333,0.043921,0.7309,0.9020
axioms_ontology_v2,meta-llama/llama-4-scout,flowers,69,72,0.9583,0.023550,0.8845,0.9857
axioms_ontology_v2,meta-llama/llama-4-scout,pets,65,72,0.9028,0.034915,0.8126,0.9521
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,cifar10,59,72,0.8194,0.045331,0.7152,0.8913
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,dtd,53,72,0.7361,0.051942,0.6242,0.8241
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,flowers,66,72,0.9167,0.032572,0.8299,0.9612
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,pets,61,72,0.8472,0.042400,0.7468,0.9125
classification,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
classification,google/gemini-2.5-flash,dtd,67,72,0.9306,0.029959,0.8475,0.9700
classification,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,google/gemini-2.5-flash,pets,71,72,0.9861,0.013792,0.9254,0.9975
classification,google/gemma-4-26b-a4b-it,cifar10,70,72,0.9722,0.019367,0.9043,0.9923
classification,google/gemma-4-26b-a4b-it,dtd,61,72,0.8472,0.042400,0.7468,0.9125
classification,google/gemma-4-26b-a4b-it,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,google/gemma-4-26b-a4b-it,pets,69,72,0.9583,0.023550,0.8845,0.9857
classification,meta-llama/llama-4-scout,cifar10,63,72,0.8750,0.038976,0.7792,0.9328
classification,meta-llama/llama-4-scout,dtd,54,72,0.7500,0.051031,0.6391,0.8356
classification,meta-llama/llama-4-scout,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,meta-llama/llama-4-scout,pets,66,72,0.9167,0.032572,0.8299,0.9612
classification,qwen/qwen3-vl-8b-instruct,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
classification,qwen/qwen3-vl-8b-instruct,dtd,65,72,0.9028,0.034915,0.8126,0.9521
classification,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,qwen/qwen3-vl-8b-instruct,pets,68,72,0.9444,0.026995,0.8657,0.9782
features,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
features,google/gemini-2.5-flash,dtd,66,72,0.9167,0.032572,0.8299,0.9612
features,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,google/gemini-2.5-flash,pets,72,72,1.0000,0.000000,0.9493,1.0000
features,google/gemma-4-26b-a4b-it,cifar10,71,72,0.9861,0.013792,0.9254,0.9975
features,google/gemma-4-26b-a4b-it,dtd,58,72,0.8056,0.046642,0.6997,0.8805
features,google/gemma-4-26b-a4b-it,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,google/gemma-4-26b-a4b-it,pets,67,72,0.9306,0.029959,0.8475,0.9700
features,meta-llama/llama-4-scout,cifar10,65,72,0.9028,0.034915,0.8126,0.9521
features,meta-llama/llama-4-scout,dtd,54,72,0.7500,0.051031,0.6391,0.8356
features,meta-llama/llama-4-scout,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,meta-llama/llama-4-scout,pets,64,72,0.8889,0.037037,0.7958,0.9426
features,qwen/qwen3-vl-8b-instruct,cifar10,68,72,0.9444,0.026995,0.8657,0.9782
features,qwen/qwen3-vl-8b-instruct,dtd,64,72,0.8889,0.037037,0.7958,0.9426
features,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,qwen/qwen3-vl-8b-instruct,pets,66,72,0.9167,0.032572,0.8299,0.9612
nle,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
nle,google/gemini-2.5-flash,dtd,67,72,0.9306,0.029959,0.8475,0.9700
nle,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,google/gemini-2.5-flash,pets,72,72,1.0000,0.000000,0.9493,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,71,72,0.9861,0.013792,0.9254,0.9975
nle,google/gemma-4-26b-a4b-it,dtd,63,72,0.8750,0.038976,0.7792,0.9328
nle,google/gemma-4-26b-a4b-it,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,google/gemma-4-26b-a4b-it,pets,65,72,0.9028,0.034915,0.8126,0.9521
nle,meta-llama/llama-4-scout,cifar10,66,72,0.9167,0.032572,0.8299,0.9612
nle,meta-llama/llama-4-scout,dtd,55,72,0.7639,0.050050,0.6540,0.8470
nle,meta-llama/llama-4-scout,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,meta-llama/llama-4-scout,pets,67,72,0.9306,0.029959,0.8475,0.9700
nle,qwen/qwen3-vl-8b-instruct,cifar10,67,72,0.9306,0.029959,0.8475,0.9700
nle,qwen/qwen3-vl-8b-instruct,dtd,62,72,0.8611,0.040757,0.7629,0.9228
nle,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,qwen/qwen3-vl-8b-instruct,pets,66,72,0.9167,0.032572,0.8299,0.9612
rulebased,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,google/gemini-2.5-flash,dtd,65,72,0.9028,0.034915,0.8126,0.9521
rulebased,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,google/gemini-2.5-flash,pets,70,72,0.9722,0.019367,0.9043,0.9923
rulebased,google/gemma-4-26b-a4b-it,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,google/gemma-4-26b-a4b-it,dtd,62,72,0.8611,0.040757,0.7629,0.9228
rulebased,google/gemma-4-26b-a4b-it,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,meta-llama/llama-4-scout,cifar10,61,72,0.8472,0.042400,0.7468,0.9125
rulebased,meta-llama/llama-4-scout,dtd,52,72,0.7222,0.052786,0.6095,0.8124
rulebased,meta-llama/llama-4-scout,flowers,71,72,0.9861,0.013792,0.9254,0.9975
rulebased,meta-llama/llama-4-scout,pets,65,72,0.9028,0.034915,0.8126,0.9521
rulebased,qwen/qwen3-vl-8b-instruct,cifar10,67,72,0.9306,0.029959,0.8475,0.9700
rulebased,qwen/qwen3-vl-8b-instruct,dtd,63,72,0.8750,0.038976,0.7792,0.9328
rulebased,qwen/qwen3-vl-8b-instruct,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,qwen/qwen3-vl-8b-instruct,pets,64,72,0.8889,0.037037,0.7958,0.9426
