dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,4.3997,2.1648,2.0789,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,2.5148,1.2468,1.0716,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,nle,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,3.3879,1.6840,1.6252,0,datasets/flowers/nle/N2_K1_Q1/run_0
flowers,nle,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,3.5316,1.7548,1.6747,0,datasets/flowers/nle/N2_K1_Q1/run_1
flowers,features,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,3.6619,1.7727,1.6067,0,datasets/flowers/features/N2_K1_Q1/run_0
flowers,features,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,2.5960,1.2671,1.1395,0,datasets/flowers/features/N2_K1_Q1/run_1
flowers,rulebased,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,8.0178,3.9654,3.8074,0,datasets/flowers/rulebased/N2_K1_Q1/run_0
flowers,rulebased,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,7.8351,3.8897,3.8207,0,datasets/flowers/rulebased/N2_K1_Q1/run_1
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,9.8226,4.8649,4.7700,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_0
flowers,axioms_ontology_v2,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,19.8941,9.9182,9.8138,0,datasets/flowers/axioms_ontology_v2/N2_K1_Q1/run_1
