source_model,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,axioms_ontology_v2,285,3.1579,0.0644,4.3789,0.0706,4.3895,0.0851,4.2000,0.0310,4.9439,0.0176,3.9754,0.0568,4.0140,0.0698,3.1228,0.0503,2.8596,0.0703,3.8936,0.0363
google/gemini-2.5-flash,features,288,3.9375,0.0522,4.7674,0.0357,4.6319,0.0633,4.9722,0.0109,4.9653,0.0108,4.0764,0.0462,4.1493,0.0713,4.7188,0.0358,4.9306,0.0199,4.5722,0.0237
google/gemini-2.5-flash,nle,288,3.7604,0.0421,4.4861,0.0477,4.7674,0.0506,4.9931,0.0049,4.9028,0.0182,4.0243,0.0407,4.1736,0.0579,4.6667,0.0337,4.9549,0.0157,4.5255,0.0203
google/gemini-2.5-flash,rulebased,287,4.2439,0.0344,4.8223,0.0296,4.5087,0.0732,4.9721,0.0097,4.9756,0.0104,4.6098,0.0317,4.3868,0.0599,4.6969,0.0405,4.7631,0.0404,4.6644,0.0212
google/gemma-4-26b-a4b-it,axioms_ontology_v2,286,2.9580,0.0640,4.6608,0.0510,4.5000,0.0775,4.3007,0.0354,4.8601,0.0322,3.7902,0.0535,3.9930,0.0711,3.1713,0.0532,3.1993,0.0788,3.9371,0.0340
google/gemma-4-26b-a4b-it,features,288,3.7118,0.0533,4.9062,0.0242,4.8750,0.0383,4.9965,0.0035,4.9861,0.0069,3.9236,0.0457,3.7396,0.0806,4.9479,0.0131,4.9340,0.0169,4.5579,0.0190
google/gemma-4-26b-a4b-it,nle,287,3.4774,0.0533,4.6132,0.0525,4.6307,0.0665,4.9268,0.0176,4.8258,0.0365,3.6063,0.0499,3.6934,0.0758,4.8223,0.0304,4.8084,0.0332,4.3783,0.0285
google/gemma-4-26b-a4b-it,rulebased,288,3.9167,0.0423,4.8785,0.0280,4.6111,0.0662,4.9028,0.0218,4.8646,0.0329,4.2917,0.0393,4.1111,0.0653,4.5556,0.0496,4.6875,0.0440,4.5355,0.0262
meta-llama/llama-4-scout,axioms_ontology_v2,288,2.0521,0.0682,4.3958,0.0663,3.9410,0.1019,3.9965,0.0425,4.9375,0.0267,2.5694,0.0783,2.6910,0.0852,2.9062,0.0514,2.7222,0.0711,3.3569,0.0380
meta-llama/llama-4-scout,features,288,3.2951,0.0594,4.7188,0.0381,4.4688,0.0763,4.9896,0.0060,4.9306,0.0165,3.4444,0.0491,3.1736,0.0800,4.7257,0.0411,4.7882,0.0375,4.2816,0.0264
meta-llama/llama-4-scout,nle,288,3.4792,0.0513,4.4028,0.0620,4.5590,0.0719,4.9236,0.0157,4.6736,0.0364,3.4271,0.0483,3.1528,0.0805,4.6806,0.0394,4.7431,0.0373,4.2269,0.0317
meta-llama/llama-4-scout,rulebased,287,2.9686,0.0570,4.5749,0.0532,4.0000,0.0988,4.8258,0.0255,4.9721,0.0097,3.5679,0.0492,3.1916,0.0804,4.2230,0.0598,4.4948,0.0543,4.0910,0.0331
qwen/qwen3-vl-8b-instruct,axioms_ontology_v2,287,1.0627,0.0194,4.1568,0.0725,3.9686,0.1035,3.3868,0.0419,5.0000,0.0000,1.0941,0.0258,1.6934,0.0648,2.9965,0.0575,3.0976,0.0873,2.9396,0.0286
qwen/qwen3-vl-8b-instruct,features,288,3.5486,0.0551,4.8264,0.0281,4.7604,0.0502,4.9896,0.0060,4.9896,0.0060,3.7882,0.0472,3.4236,0.0835,4.8993,0.0197,4.8854,0.0254,4.4568,0.0213
qwen/qwen3-vl-8b-instruct,nle,288,3.7604,0.0421,4.3507,0.0590,4.7708,0.0519,4.9583,0.0128,4.8368,0.0244,3.8542,0.0426,3.7500,0.0701,4.6389,0.0394,4.8542,0.0295,4.4194,0.0253
qwen/qwen3-vl-8b-instruct,rulebased,288,3.6597,0.0473,4.8090,0.0331,4.3785,0.0814,4.9896,0.0060,4.9965,0.0035,4.0833,0.0397,3.9653,0.0729,4.2431,0.0551,4.9201,0.0194,4.4495,0.0218
