dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,0,2,2,0,1.0000,5.1326,2.5537,2.4730,0,datasets/flowers/classification/N2_K1_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,1,2,2,0,1.0000,3.3885,1.6905,1.4202,0,datasets/flowers/classification/N2_K1_Q1/run_1
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,2,2,2,0,1.0000,1.7877,0.8916,0.7981,0,datasets/flowers/classification/N2_K1_Q1/run_2
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,3,2,2,0,1.0000,1.9720,0.9816,0.8353,0,datasets/flowers/classification/N2_K1_Q1/run_3
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,4,2,2,0,1.0000,10.5196,5.2572,5.1849,0,datasets/flowers/classification/N2_K1_Q1/run_4
flowers,classification,google/gemma-4-26b-a4b-it,2,1,1,5,2,2,0,1.0000,11.1910,5.5936,5.4110,0,datasets/flowers/classification/N2_K1_Q1/run_5
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,0,2,2,0,1.0000,6.4269,3.2089,2.8989,0,datasets/flowers/classification/N2_K5_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,1,2,2,0,1.0000,3.7649,1.8804,1.4412,0,datasets/flowers/classification/N2_K5_Q1/run_1
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,2,2,2,0,1.0000,6.1107,3.0521,2.6417,0,datasets/flowers/classification/N2_K5_Q1/run_2
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,3,2,2,0,1.0000,10.0384,5.0167,4.6934,0,datasets/flowers/classification/N2_K5_Q1/run_3
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,4,2,2,0,1.0000,2.6151,1.3036,0.8580,0,datasets/flowers/classification/N2_K5_Q1/run_4
flowers,classification,google/gemma-4-26b-a4b-it,2,5,1,5,2,2,0,1.0000,4.6070,2.3004,1.7476,0,datasets/flowers/classification/N2_K5_Q1/run_5
flowers,classification,google/gemma-4-26b-a4b-it,3,1,1,0,3,3,0,1.0000,4.8160,1.6031,1.4304,0,datasets/flowers/classification/N3_K1_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,3,1,1,1,3,3,0,1.0000,14.4871,4.8040,4.6839,0,datasets/flowers/classification/N3_K1_Q1/run_1
flowers,classification,google/gemma-4-26b-a4b-it,3,1,1,2,3,3,0,1.0000,6.6908,2.2280,2.0502,0,datasets/flowers/classification/N3_K1_Q1/run_2
flowers,classification,google/gemma-4-26b-a4b-it,3,1,1,3,3,3,0,1.0000,3.7340,1.2434,1.0959,0,datasets/flowers/classification/N3_K1_Q1/run_3
flowers,classification,google/gemma-4-26b-a4b-it,3,5,1,0,3,3,0,1.0000,12.7547,4.2480,3.6635,0,datasets/flowers/classification/N3_K5_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,3,5,1,1,3,3,0,1.0000,8.3134,2.7690,2.2351,0,datasets/flowers/classification/N3_K5_Q1/run_1
flowers,classification,google/gemma-4-26b-a4b-it,3,5,1,2,3,3,0,1.0000,26.3457,8.7802,8.1449,0,datasets/flowers/classification/N3_K5_Q1/run_2
flowers,classification,google/gemma-4-26b-a4b-it,3,5,1,3,3,3,0,1.0000,6.6701,2.2199,1.7625,0,datasets/flowers/classification/N3_K5_Q1/run_3
flowers,classification,google/gemma-4-26b-a4b-it,4,1,1,0,4,4,0,1.0000,16.0787,4.0174,3.7061,0,datasets/flowers/classification/N4_K1_Q1/run_0
flowers,classification,google/gemma-4-26b-a4b-it,4,1,1,1,4,4,0,1.0000,5.2163,1.3027,1.0720,0,datasets/flowers/classification/N4_K1_Q1/run_1
