dataset,prompt_type,model,config_n,config_k,config_q,run_id,correct,total,errors,accuracy,run_duration_seconds,avg_trial_wall_seconds,avg_trial_api_seconds,system_fallback_count,artifact_dir
pets,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.4833,0.7394,0.5358,0,datasets/pets/classification/N2_K1_Q1/run_0
pets,classification,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.1393,0.5675,0.3937,0,datasets/pets/classification/N2_K1_Q1/run_1
pets,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.2445,0.6192,0.4389,0,datasets/pets/nle/N2_K1_Q1/run_0
pets,nle,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.2145,0.6052,0.4141,0,datasets/pets/nle/N2_K1_Q1/run_1
pets,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.6075,0.7984,0.5648,0,datasets/pets/features/N2_K1_Q1/run_0
pets,features,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,2.2948,1.1449,0.9469,0,datasets/pets/features/N2_K1_Q1/run_1
pets,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,8.2337,4.1141,3.9078,0,datasets/pets/rulebased/N2_K1_Q1/run_0
pets,rulebased,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,4.1616,2.0754,1.8939,0,datasets/pets/rulebased/N2_K1_Q1/run_1
pets,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,0,0,2,0,0.0000,1.1499,0.5725,0.4299,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_0
pets,axioms_ontology_v2,meta-llama/llama-3.2-11b-vision-instruct,2,1,1,1,0,2,0,0.0000,1.2353,0.6150,0.4411,0,datasets/pets/axioms_ontology_v2/N2_K1_Q1/run_1
