prompt_type,model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
axioms_ontology_v2,google/gemini-2.5-flash,dtd,65,72,0.9028,0.034915,0.8126,0.9521
axioms_ontology_v2,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
axioms_ontology_v2,google/gemini-2.5-flash,pets,71,72,0.9861,0.013792,0.9254,0.9975
classification,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
classification,google/gemini-2.5-flash,dtd,67,72,0.9306,0.029959,0.8475,0.9700
classification,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
classification,google/gemini-2.5-flash,pets,71,72,0.9861,0.013792,0.9254,0.9975
features,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
features,google/gemini-2.5-flash,dtd,66,72,0.9167,0.032572,0.8299,0.9612
features,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
features,google/gemini-2.5-flash,pets,72,72,1.0000,0.000000,0.9493,1.0000
nle,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
nle,google/gemini-2.5-flash,dtd,67,72,0.9306,0.029959,0.8475,0.9700
nle,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
nle,google/gemini-2.5-flash,pets,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,google/gemini-2.5-flash,cifar10,69,72,0.9583,0.023550,0.8845,0.9857
rulebased,google/gemini-2.5-flash,dtd,65,72,0.9028,0.034915,0.8126,0.9521
rulebased,google/gemini-2.5-flash,flowers,72,72,1.0000,0.000000,0.9493,1.0000
rulebased,google/gemini-2.5-flash,pets,70,72,0.9722,0.019367,0.9043,0.9923
